BranchGpId,GpId,BranchId,DayOfWeek,startTime,endTime
1,1,1,MON,08:00,18:30
2,1,1,TUE,09:00,18:00
3,3,1,MON,08:00,15:30
4,4,1,TUE,09:00,16:30
5,4,1,THU,09:00,16:30
6,4,1,FRI,09:00,16:30
7,2,1,MON,08:00,18:00
8,2,1,WED,09:00,15:00
9,2,1,FRI,08:00,17:00
10,3,1,TUE,09:00,16:00
11,5,2,MON,08:30,15:30
12,5,2,TUE,09:00,16:00
13,5,2,WED,09:00,17:00
14,6,2,MON,08:30,16:00
15,6,2,TUE,09:30,15:30
16,6,2,FRI,08:00,17:00
17,7,3,MON,09:30,15:00
18,7,3,TUE,08:00,17:00
19,7,3,THU,09:00,17:30
20,8,3,MON,09:00,16:00
21,8,3,TUE,08:00,17:00
22,8,3,FRI,08:00,17:00
23,9,3,MON,09:30,17:00
24,9,3,TUE,08:00,15:00
25,9,3,THU,08:00,17:00
26,9,3,FRI,09:00,18:00
27,10,4,MON,09:00,15:00
28,10,4,TUE,09:30,16:00
29,10,4,WED,10:00,16:30
30,11,4,MON,09:30,17:00
31,11,4,TUE,08:00,16:00
32,11,4,WED,08:30,17:30
33,11,4,FRI,08:00,17:00
34,12,5,MON,09:00,16:00
35,12,5,WED,09:30,16:30
36,12,5,THU,08:00,17:00
37,12,5,FRI,08:00,17:30
38,13,5,MON,09:00,15:00
39,13,5,TUE,09:00,17:00
40,13,5,WED,08:00,17:30
41,14,5,TUE,09:30,16:30
42,14,5,FRI,08:00,17:30
43,15,5,MON,08:30,16:00
45,15,5,THU,09:00,17:00
46,15,5,FRI,08:00,16:3O
